episode,comb_start,comb_end
Mad.Men.S01E01.720p.BluRay.2CH.x264-PSA,47,2872
Mad.Men.S01E02.720p.BluRay.2CH.x264-PSA,40,2769
Mad.Men.S01E03.720p.BluRay.2CH.x264-PSA,39,2602
Mad.Men.S01E04.720p.BluRay.2CH.x264-PSA,39,2659
Mad.Men.S01E05.720p.BluRay.2CH.x264-PSA,38,2829
Mad.Men.S01E06.720p.BluRay.2CH.x264-PSA,39,2763
Mad.Men.S01E07.720p.BluRay.2CH.x264-PSA,38,2770
Mad.Men.S01E08.720p.BluRay.2CH.x264-PSA,37,2830
Mad.Men.S01E09.720p.BluRay.2CH.x264-PSA,39,2802
Mad.Men.S01E10.720p.BluRay.2CH.x264-PSA,37,2823
Mad.Men.S01E11.720p.BluRay.2CH.x264-PSA,39,2826
Mad.Men.S01E12.720p.BluRay.2CH.x264-PSA,37,2817
Mad.Men.S01E13.720p.BluRay.2CH.x264-PSA,37,3060
downton-abbey-season-1-episode-02,55,2933
downton-abbey-season-1-episode-03,55,2931
downton-abbey-season-1-episode-04,55,2839
downton-abbey-season-1-episode-05,55,2935
downton-abbey-season-1-episode-06,55,2871
downton-abbey-season-1-episode-07,55,3875
