show,episode,true_start,true_end,video_start,video_end,audio_start,audio_end,comb_start,comb_end,video_err_start,video_err_end,audio_err_start,audio_err_end,comb_err_start,comb_err_end
show1,downton-abbey-season-1-episode-02,55,2934,54,2939,52,2938,55,2933,1,5,3,4,0,1
show1,downton-abbey-season-1-episode-03,55,2931,56,2931,56,2936,55,2931,1,0,1,5,0,0
show1,downton-abbey-season-1-episode-04,55,2840,54,2839,51,2848,55,2839,1,1,4,8,0,1
show1,downton-abbey-season-1-episode-05,55,2936,55,2939,54,2943,55,2935,0,3,1,7,0,1
show1,downton-abbey-season-1-episode-06,55,2872,55,2870,59,2881,55,2871,0,2,4,9,0,1
show1,downton-abbey-season-1-episode-07,55,3876,55,3874,56,3882,55,3875,0,2,1,6,0,1
show2,Mad.Men.S01E01.720p.BluRay.2CH.x264-PSA,48,2873,48,2879,50,2880,47,2872,0,6,2,7,1,1
show2,Mad.Men.S01E02.720p.BluRay.2CH.x264-PSA,40,2770,41,2770,39,2778,40,2769,1,0,1,8,0,1
show2,Mad.Men.S01E03.720p.BluRay.2CH.x264-PSA,39,2602,39,2603,37,2612,39,2602,0,1,2,10,0,0
show2,Mad.Men.S01E04.720p.BluRay.2CH.x264-PSA,39,2659,40,2660,42,2666,39,2659,1,1,3,7,0,0
show2,Mad.Men.S01E05.720p.BluRay.2CH.x264-PSA,37,2830,38,2830,40,2838,38,2829,1,0,3,8,1,1
show2,Mad.Men.S01E06.720p.BluRay.2CH.x264-PSA,39,2764,39,2762,41,2772,39,2763,0,2,2,8,0,1
show2,Mad.Men.S01E07.720p.BluRay.2CH.x264-PSA,38,2771,38,2770,34,2777,38,2770,0,1,4,6,0,1
show2,Mad.Men.S01E08.720p.BluRay.2CH.x264-PSA,37,2831,37,2830,40,2837,37,2830,0,1,3,6,0,1
show2,Mad.Men.S01E09.720p.BluRay.2CH.x264-PSA,39,2803,40,2803,36,2807,39,2802,1,0,3,4,0,1
show2,Mad.Men.S01E10.720p.BluRay.2CH.x264-PSA,37,2824,38,2822,35,2832,37,2823,1,2,2,8,0,1
show2,Mad.Men.S01E11.720p.BluRay.2CH.x264-PSA,39,2826,39,2826,41,2835,39,2826,0,0,2,9,0,0
show2,Mad.Men.S01E12.720p.BluRay.2CH.x264-PSA,38,2817,38,2819,40,2826,37,2817,0,2,2,9,1,0
show2,Mad.Men.S01E13.720p.BluRay.2CH.x264-PSA,37,3061,38,3059,34,3067,37,3060,1,2,3,6,0,1
